GER;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
630022;Alfred Bülowius;T7015;6;1930;1970;piloting;training;bomber_tactics;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
24;Hugo Sperrle;T24;7;1935;1970;bomber_tactics;training;centralized_execution;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18;Adolf Galland;T18;5;1941;1970;fighter_tactics;piloting;fighter_design;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
28;Jäger Kampfschule;100130;7;1900;1970;airborne_training;mountain_training;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
46;Alfred von Schlieffen;100145;7;1891;1906;centralized_execution;large_unit_focus;large_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
45;Helmuth von Moltke;100144;6;1906;1916;centralized_execution;large_unit_focus;large_unit_tactics;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
630026;August von Mackensen;;7;1906;1935;decentralized_execution;large_unit_focus;large_unit_tactics;individual_courage;infantry_focus;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;x
48;Max Hoffmann;100147;8;1914;1927;centralized_execution;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
43;Paul von Hindenburg;100502;7;1914;1934;centralized_execution;large_unit_focus;large_unit_tactics;individual_courage;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
57;Preußische Kriegsakademie;;6;1801;1970;centralized_execution;training;small_unit_tactics;individual_courage;maneuver_tactics;large_unit_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;x
44;Erich Ludendorff;100143;7;1914;1937;centralized_execution;large_unit_focus;large_unit_tactics;individual_courage;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
42;Georg Bruchmüller;100142;5;1916;1940;centralized_execution;combined_arms_focus;large_unit_tactics;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55;Kurt von Hammerstein-Equord;;6;1925;1943;centralized_execution;combined_arms_focus;large_unit_tactics;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
630027;Ludwig Beck;;7;1935;1970;centralized_execution;infantry_focus;large_unit_tactics;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
54;Werner von Fritsch;;5;1932;1948;centralized_execution;infantry_focus;small_unit_tactics;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
58;Hans von Seeckt;;8;1916;1935;decentralized_execution;infantry_focus;small_unit_tactics;maneuver_tactics;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
47;Oskar von Hutier;100146;9;1917;1934;decentralized_execution;small_unit_tactics;individual_courage;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
22;Heinz Guderian;T22;9;1939;1954;combined_arms_focus;small_unit_tactics;decentralized_execution;training;blitzkrieg_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
630021;Smilo von Lüttwitz;100604;6;1945;1970;training;small_unit_tactics;combined_arms_focus;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
20;Erich von Manstein;T20;9;1940;1973;combined_arms_focus;small_unit_tactics;decentralized_execution;maneuver_tactics;training;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;x
630020;Adolf Heusinger;100605;7;1954;1970;training;small_unit_tactics;combined_arms_focus;centralized_execution;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
