BLR;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
470022;Foreign Minister;Iuri Shurevich;1933;1964;NS;Biased Intellectual;High;M517022;X
470023;Foreign Minister;Wilhelm Kube;1933;1964;NS;The Cloak N Dagger Schemer;High;M517023;X
470024;Minister of Armament;Vasiliy F. Sharangovich;1933;1964;LE;Resource Industrialist;Medium;M517024;X
470025;Minister of Armament;Mikhail Bonch-Bruevich;1933;1964;SD;Tank Proponent;Medium;M517025;X
470026;Minister of Armament;Mikola Abramchyk;1933;1964;SC;Theoretical Scientist;Medium;M517026;X
470027;Minister of Armament;Janka Survilla;1933;1964;NS;Laissez-Faire Capitalist;Medium;M517012;X
470028;Minister of Armament;Karl Lander;1933;1964;NS;Military Entrepreneur;Medium;M517017;X
470029;Minister of Security;Aleksandr I. Krivitsky;1933;1964;LE;Compassionate Gentleman;Medium;M517029;X
470030;Minister of Security;Nikolay F. Gikalo;1933;1964;LE;Back Stabber;Medium;M517030;X
470031;Minister of Security;Mikhail Bonch-Bruevich;1933;1964;LE;Man of the People;Medium;M517025;X
470032;Minister of Security;Aleksander Osatkin-Vladimirsky;1933;1964;SD;Crime Fighter;Medium;M517004;X
470033;Minister of Security;Larysa Hienijush;1933;1964;SC;Efficient Sociopath;Medium;M517033;X
470034;Minister of Security;Curt von Gottberg;1933;1964;NS;Prince of Terror;Medium;M517034;X
470035;Minister of Security;Constantine Voskoboinikov;1933;1964;NS;Silent Lawyer;Medium;M517035;X
470036;Head of Military Intelligence;Panteleion Ponomarenko;1933;1964;LE;Industrial Specialist;Medium;M517036;X
470037;Head of Military Intelligence;Aleksandr I. Krivitsky;1933;1964;SD;Political Specialist;Medium;M517029;X
470038;Head of Military Intelligence;Karl Lander;1933;1964;SD;Dismal Enigma;Medium;M517017;X
470039;Head of Military Intelligence;Iuri Shurevich;1933;1964;SC;Technical Specialist;Medium;M517022;X
470040;Head of Military Intelligence;Mikhail Bonch-Bruevich;1933;1964;NS;Technical Specialist;Medium;M517025;X
470041;Head of Military Intelligence;Yurij B. Gamarnik;1933;1964;NS;Political Specialist;Medium;M517005;X
470042;Head of Military Intelligence;Walter Darré;1933;1964;NS;Logistics Specialist;Medium;M517042;X
470043;Chief of Staff;Vladimir I. Cheryakov;1933;1964;SD;School of Fire Support;Medium;M517010;X
470044;Chief of Staff;Yurij B. Gamarnik;1933;1964;SC;School of Psychology;Medium;M517005;X
470045;Chief of Staff;Vassilyi Suerata;1933;1964;NS;School of Defence;Medium;M517045;X
470046;Chief of Army;Serafim Pokrovski;1933;1964;SD;Static Defence Doctrine;Medium;M517007;X
470047;Chief of Army;Jozef Dowbor-Musnicki;1933;1964;SC;Decisive Battle Doctrine;Medium;M517047;X
470048;Chief of Army;Bronislav Kaminski;1933;1964;NS;Guns and Butter Doctrine;Medium;M517048;X
470049;Chief of Navy;Aleksandr Iziumov;1933;1964;SD;Base Control Doctrine;Medium;M517049;X
470050;Chief of Navy;Friedrich Wilhelm Kurzr;1933;1964;SC;Open Seas Doctrine;Medium;M517050;X
470051;Chief of Navy;Erhard Märtens;1933;1964;NS;Base Control Doctrine;Medium;M517051;X
470052;Chief of Air Force;Nikolay F. Gikalo;1933;1964;SD;Army Aviation Doctrine;Medium;M517030;X
470053;Chief of Air Force;Aleksandr Iziumov;1933;1964;SC;Vertical Envelopment Doctrine;Medium;M517049;X
470054;Chief of Air Force;Hans Baur;1933;1964;NS;Air Superiority Doctrine;Medium;M517054;X
470055;Head of State;Jazep Losik;1914;1933;ML;Die-hard Reformer;High;5962;X
470056;Head of State;Jan Sierada;1918;1933;SL;Insignificant Layman;High;5964;X
470057;Head of State;Jazep Waronka;1918;1964;ML;Autocratic Charmer;High;9268;X
470058;Head of State;Pyotra Krecheuski;1919;1929;ML;Stern Imperialist;High;5963;X
470059;Head of State;Stanislaw Bulak-Balachowicz;1919;1964;PA;Resigned Generalissimo;High;5960;X
470060;Head of State;S.M. Henry I of Prussia;1914;1930;PA;Autocratic Charmer;High;9272;X
470061;Head of State;S.M. Waldemar I of Prussia;1929;1946;PA;Insignificant Layman;High;9273;X
470062;Head of State;S.M. Sigismund I of Prussia;1944;1979;PA;Ruthless Powermonger;High;9274;X
470063;Head of Government;Jan Sierada;1914;1933;SL;Happy Amateur;High;5964;X
470064;Head of Government;Anton Luckiewicz;1914;1933;SL;Political Protege;High;unknown;X
470065;Head of Government;Waclaw Lastouski;1917;1933;ML;Naive Optimist;High;5961;X
470066;Head of Government;Zmicier Zylunowicz;1917;1933;LE;Ambitious Union Boss;High;unknown;X
470067;Head of Government;Wiaczaslau Adamowicz;1918;1933;PA;Political Protege;High;unknown;X
470068;Head of Government;Stanislaw Bulak-Balachowicz;1919;1964;PA;Old General;High;5960;X
470069;Foreign Minister;Anton Luckiewicz;1914;1933;SL;Great Compromiser;High;unknown;X
470070;Foreign Minister;A. Ladnou;1919;1933;ML;Biased Intellectual;High;unknown;X
470071;Foreign Minister;Jan Makreje;1918;1933;ML;Apologetic Clerk;High;unknown;X
470072;Foreign Minister;Wiaczaslau Adamowicz;1918;1933;PA;Apologetic Clerk;High;unknown;X
470073;Minister of Armament;Wasyl Zacharka;1914;1933;ML;Laissez-Faire Capitalist;Medium;6948;X
470074;Minister of Armament;E. Bialewicz;1919;1933;ML;Infantry Proponent;Medium;unknown;X
470075;Minister of Armament;Kanstantzin Barisavich Yezavitaw;1914;1947;PA;Infantry Proponent;High;9270;X
470076;Minister of Armament;Jan Sierada;1914;1948;PA;Planned Economy Proponent;High;5964;X
470077;Minister of Security;Alaksandar Cwikiewicz;1914;1933;ML;Prince of Terror;Medium;unknown;X
470078;Minister of Security;Pawel Aleksiuk;1919;1933;ML;Back Stabber;Medium;unknown;X
470079;Minister of Security;Alaksandar Cwikiewicz;1918;1933;ML;Man of the People;Medium;unknown;X
470080;Minister of Security;Tamas Hryb;1919;1933;ML;Prince of Terror;Medium;unknown;X
470081;Minister of Security;Pyotra Krecheuski;1918;1929;PA;Crime Fighter;High;5963;X
470082;Head of Military Intelligence;Under Army Command;1914;1933;ML;Generic;Very High;unknownminister;X
470083;Head of Military Intelligence;Under Army Command;1914;1933;LWR;Generic;Very High;unknownminister;X
470084;Head of Military Intelligence;Kanstantzin Yezavitaw;1914;1947;PA;Logistics Specialist;High;9270;X
470085;Chief of Staff;Kanstantyn Jezawitaw;1914;1947;SC;School of Fire Support;Medium;9270;X
470086;Chief of Staff;Wasyl Zacharka;1918;1933;ML;School of Mass Combat;Medium;6948;X
470087;Chief of Staff;Lavon Zajac;1918;1933;ML;School of Defence;Medium;unknown;X
470088;Chief of Staff;Cyprian Kondratowicz;1920;1964;SC;School of Defence;High;unknown;X
470089;Chief of Staff;Stanislaw Bulak-Balachowicz;1914;1964;PA;School of Defence;Medium;5960;X
470090;Chief of Staff;Anton Sokól-Kutylowski;1920;1933;LE;School of Psychology;Medium;unknown;X
470091;Chief of Army;Kanstantyn Jezawitaw;1914;1933;SC;Static Defence Doctrine;Medium;9270;X
470092;Chief of Army;Stanislaw Bulak-Balachowicz;1914;1964;PA;Armoured Spearhead Doctrine;Medium;5960;X
470093;Chief of Army;Cyprian Kondratowicz;1920;1964;PA;Armoured Spearhead Doctrine;High;unknown;X
470094;Chief of Army;Guasan Kanapatzki;1914;1954;PA;Decisive Battle Doctrine;High;9271;X
470095;Chief of Army;Cyprian Kondratowicz;1920;1964;SC;Armoured Spearhead Doctrine;High;unknown;X
470096;Chief of Army;Anton Sokól-Kutylowski;1920;1933;LE;Armoured Spearhead Doctrine;Medium;unknown;X
470097;Chief of Navy;Under Army Command;1914;1964;ML;Generic;Very High;unknownminister;X
470098;Chief of Navy;Under Army Command;1914;1964;PA;Generic;Very High;unknownminister;X
470099;Chief of Navy;Under Army Command;1914;1964;LWR;Generic;Very High;unknownminister;X
470100;Chief of Air Force;Under Army Command;1914;1964;ML;Generic;Very High;unknownminister;X
470101;Chief of Air Force;Under Army Command;1914;1964;PA;Generic;Very High;unknownminister;X
470102;Chief of Air Force;Under Army Command;1914;1964;LWR;Generic;Very High;unknownminister;X
470103;Head of State;Vasil Zacharka;1933;1944;SC;Stern Imperialist;High;M517016;X
470104;Head of State;Mikola Abramchyk;1943;1971;SC;Powerhungry Demagogue;High;M517026;X
470105;Head of State;Nikolai F. Gikalo;1936;1964;ST;Die-hard Reformer;Medium;M517030;X
470106;Head of State;Aleksiy A. Volkov;1937;1943;ST;Resigned Generalissimo;Medium;M517002;X
470107;Head of State;Panteleion Ponomarenko;1938;1985;ST;Autocratic Charmer;Medium;M517036;X
470108;Head of State;Nikolay I. Gusarov;1947;1964;ST;Barking Buffoon;Medium;M470109;X
470109;Head of State;Nikolay S. Patolichev;1950;1964;ST;Powerhungry Demagogue;Medium;M470111;X
470110;Head of State;Ivan F. Klimov;1952;1964;ST;Stern Imperialist;Medium;M470113;X
470111;Head of State;Nikolay S. Patolichev;1953;1964;LE;Insignificant Layman;Medium;M470115;X
470112;Head of State;Kirill T. Mazurov;1956;1964;LE;Autocratic Charmer;Medium;M470117;X
470113;Head of State;Michal Vituška;1941;2007;NS;Resigned Generalissimo;High;BLR-Michal_Vituska;X
470114;Head of State;Raduslau Astrouski;1939;1977;FA;Insignificant Layman;High;BLR-Raduslau_Astrouski;X
470115;Head of State;Mikola Abramchyk;1943;1971;PA;Powerhungry Demagogue;High;M517026;X
470116;Head of State;S.M. Waldemar I of Prussia;1929;1946;SC;Insignificant Layman;High;9273;X
470117;Head of State;S.M. Sigismund I of Prussia;1944;1979;SC;Ruthless Powermonger;High;9274;X
470118;Head of Government;Yazip Losik;1933;1964;SD;Ambitious Union Boss;High;M517006;X
470119;Head of Government;Vasil Zacharka;1933;1944;SC;Political Protege;High;M517016;X
470120;Head of Government;Mikola Abramchyk;1943;1971;SC;Ambitious Union Boss;High;M517026;X
470121;Head of Government;Janka Survilla;1933;1964;SC;Backroom Backstabber;High;M517012;X
470122;Head of Government;Nikolai F. Gikalo;1936;1964;ST;Ambitious Union Boss;Medium;M517030;X
470123;Head of Government;Aleksiy A. Volkov;1937;1943;ST;Silent Workhorse;Medium;M517002;X
470124;Head of Government;Panteleion Ponomarenko;1938;1985;ST;Political Protege;Medium;M517036;X
470125;Head of Government;Nikolay I. Gusarov;1947;1964;ST;Happy Amateur;Medium;M470109;X
470126;Head of Government;Nikolay S. Patolichev;1950;1964;ST;Ambitious Union Boss;Medium;M470111;X
470127;Head of Government;Kirill T. Mazurov;1956;1964;LE;Flamboyant Tough Guy;Medium;M470117;X
470128;Head of Government;Michal Vituška;1941;2007;NS;Backroom Backstabber;High;BLR-Michal_Vituska;X
470129;Head of Government;Raduslau Astrouski;1939;1977;FA;Political Protege;High;BLR-Raduslau_Astrouski;X
