U11;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
870085;Head of Military Intelligence;Henri Gourdeaux;1933;1964;ST;Logistics Specialist;High;M2119;X
870086;Head of Military Intelligence;Gustave Guéhenneux;1933;1964;ST;Technical Specialist;Medium;M2141;X
870087;Head of Military Intelligence;Anne-Marie Schell;1936;1964;LE;Political Specialist;Very High;U11-Anne-Marie_Schell;X
870088;Head of Military Intelligence;Pierre Brossolette;1936;1964;LWR;Dismal Enigma;Very High;U11-Pierre_Brossolette;X
870089;Head of Military Intelligence;Renée Lamberet;1936;1964;LWR;Political Specialist;Very High;U11-Renee_Lamberet;X
870090;Head of Military Intelligence;Roger Salengro;1933;1964;SD;Industrial Specialist;Medium;M2123;X
870091;Head of Military Intelligence;Felix Gouin;1933;1964;SD;Technical Specialist;Medium;M2034;X
870092;Head of Military Intelligence;Daniel Mayer;1933;1964;SD;Logistics Specialist;Medium;M2023;X
870093;Head of Military Intelligence;André Le Troquer;1933;1964;SD;Dismal Enigma;Medium;M2072;X
870094;Head of Military Intelligence;Maurice Delage;1933;1964;SD;Technical Specialist;High;M2129;X
870095;Head of Military Intelligence;Aimé Lepercq;1933;1964;SD;Industrial Specialist;Medium;M2130;X
870096;Head of Military Intelligence;Joseph Paganon;1933;1964;SD;Political Specialist;Medium;M2006;X
870097;Head of Military Intelligence;René Mayer;1933;1964;SD;Logistics Specialist;Medium;M2221;X
870098;Head of Military Intelligence;Edgar Faure;1933;1964;SD;Dismal Enigma;Medium;M2219;X
870099;Chief of Staff;Albert Ouzoulias;1936;1964;ST;Commando Doctrine Staff;Very High;U11-Albert_Ouzoulias;X
870100;Chief of Staff;Pierre Georges;1944;1964;ST;School of Mass Combat;Very High;M2167;X
870101;Chief of Staff;Roger Ginsburger;1936;1964;LE;School of Fire Support;Very High;U11-Pierre_Villon;X
870102;Chief of Staff;Maurice Joyeux;1936;1964;LWR;School of Mass Combat;Very High;U11-Maurice_Joyeux;X
870103;Chief of Staff;Maurice Gamelin;1933;1964;SD;Fortifications Supporter;Medium;5902;X
870104;Chief of Army;Pierre Georges;1933;1964;ST;Decisive Battle Doctrine;Very High;M2167;X
870105;Chief of Army;Henri Rol-Tanguy;1941;1964;ST;Doctrine of Autonomy;Very High;U11-Henri_Rol-Tanguy;X
870106;Chief of Army;Maurice Kriegel-Valrimont;1936;1964;LE;Commando Doctrine Army;Very High;U11-Maurice_Kriegel-Valrimont;X
870107;Chief of Army;Pierre Auguste Chardigny;1933;1964;SD;Elastic Defence Doctrine;Medium;M2098;X
870108;Chief of Army;Maurice Gamelin;1933;1964;SD;Static Defense Supporter;Medium;5902;X
870109;Chief of Navy;Charles Tillon;1933;1964;ST;Base Control Doctrine;Very High;M2180;X
870110;Chief of Navy;Louis Pétri;1944;1964;ST;Indirect Approach Doctrine;Very High;U11-Louis_Petri;X
870111;Chief of Navy;Jacques Piette;1944;1964;LE;Base Control Doctrine;Very High;U11-Jacques_Piette;X
870112;Chief of Navy;Maurice Joyeux;1936;1964;LWR;Base Control Doctrine;Very High;U11-Maurice_Joyeux;X
870113;Chief of Navy;Joseph Paul Boncour;1933;1964;SD;Base Control Doctrine;High;M2170;X
870114;Chief of Navy;Jean Gout;1933;1964;SD;Power Projection Doctrine;High;M2171;X
870115;Chief of Air Force;Marcel Gitton;1933;1964;ST;Air Superiority Doctrine;Medium;M2020;X
870116;Chief of Air Force;Roland de la Poype;1948;1964;ST;Air Superiority Doctrine;Very High;U11-Roland_de_la_Poype;X
870117;Chief of Air Force;Jacques Piette;1944;1964;LE;Vertical Envelopment Doctrine;Very High;U11-Jacques_Piette;X
870118;Chief of Air Force;Maurice Joyeux;1936;1964;LWR;Vertical Envelopment Doctrine;Very High;U11-Maurice_Joyeux;X
870119;Chief of Air Force;Victor Denain;1933;1964;SD;Carpet Bombing Doctrine;Medium;M2010;X
870120;Chief of Air Force;Guy La Chambre;1933;1964;SD;Vertical Envelopment Doctrine;Medium;M2188;X
870121;Chief of Air Force;Pierre Cot;1933;1964;SD;Army Aviation Doctrine;Medium;M2184;X
870122;Chief of Air Force;Joseph Vuillemin;1933;1964;SD;Air Superiority Doctrine;Low;M2187;X
