USA;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
240089;Minister of Security;John Abt;1940;1992;LE;Back Stabber;Medium;USA - John Abt;X
240090;Minister of Security;Daniel Hoan;1928;1961;SD;Man of the People;Medium;USA - Daniel Hoan;X
240091;Minister of Security;Jessica Smith;1944;1984;LE;Health and Safety;Medium;USA  - Jessica Smith;X
240092;Head of Military Intelligence;Henry J. Kaiser;1942;1968;SL;Industrial Specialist;High;USA - Henry J Kaiser;X
240093;Head of Military Intelligence;Adolf Berle;1939;1972;SL;Political Specialist;Very High;USA - Adolf Berle;X
240094;Head of Military Intelligence;Vincent Astor;1937;1960;ML;Naval Intelligence Specialist;Very High;USA - Vincent Astor;X
240095;Head of Military Intelligence;J. Edgar Hoover;1944;1973;ML;Dismal Enigma;Very High;USA - J Edgar Hoover;X
240096;Head of Military Intelligence;Sidney Souers;1945;1974;SC;Naval Intelligence Specialist;Very High;USA - Sidney Souers;X
240097;Head of Military Intelligence;Roscoe H. Hillenkoetter;1947;1983;SL;Naval Intelligence Specialist;Very High;USA - Roscoe H Hillenkoetter;X
240098;Head of Military Intelligence;William J. Donovan;1940;1960;ML;Technical Specialist;High;USA - William Donovan;X
240099;Head of Military Intelligence;Hoyt S. Vandenberg;1942;1955;ML;Logistics Specialist;Medium;USA - Hoyt S Vandenberg;X
240100;Head of Military Intelligence;Henry Cabot Lodge Jr.;1944;1986;SL;Political Specialist;High;USA - Henry Cabot Lodge Jr;X
240102;Head of Military Intelligence;Dr. James A. Colescott;1940;1951;NS;Political Specialist;High;USA - Dr James A Colescott;X
240103;Head of Military Intelligence;Harry Haywood;1923;1986;LE;Political Specialist;High;USA - Harry Haywood;X
240105;Chief of Staff;Dwight D. Ironhewer;1942;1970;SC;Popular Military Leader;Very High;USA - Dwight D Ironhewer;X
240106;Chief of Staff;Maurice Rose;1931;1964;SL;School of Manoeuvre;High;USA - Maurice Rose;X
240107;Chief of Staff;Hans Amlie;1924;1950;LWR;School of Fire Support;High;USA - Hans Amlie;X
240108;Chief of Army;David McKenzie Key;1940;1964;SL;Undersecretary of War;High;USA - David McKenzie Key;X
240110;Chief of Army;Omar N. Bradley;1944;1954;ML;Innovative Offensive General;High;USA - Omar Bradley;X
240111;Chief of Army;Dwight D. Ironhewer;1942;1970;SC;Innovative Offensive General;High;USA - Dwight D Ironhewer;X
240112;Chief of Army;George Van Horn Moseley;1932;1961;PA;Decisive Battle Doctrine;Very High;USA - George Van Horn Moseley;X
240114;Chief of Army;Steve Nelson;1924;1976;LWR;Guns and Butter Doctrine;High;USA - Steve Nelson;X
240115;Chief of Army;Robert Merriman;1937;1939;LE;Elastic Defence Doctrine;High;USA - Robert Merriman;X
240116;Chief of Navy;Frank Knox;1940;1945;ML;Open Seas Doctrine;High;USA - Frank Knox;X
240117;Chief of Navy;Charles Edison;1940;1970;ML;Power Projection Doctrine;High;USA - Charles Edison;X
240118;Chief of Navy;James V. Forrestal;1944;1950;ML;Decisive Naval Battle Doctrine;Very High;USA - James V Forrestal;X
240120;Chief of Navy;William C. Bullitt;1947;1968;SC;Base Control Doctrine;Very High;USA - William C Bullitt;X
240121;Chief of Navy;William H. Standley;1933;1964;SC;Old School Admiral;Very High;USA - William H Standley;X
240122;Chief of Navy;Harold R. Stark;1939;1947;ML;Open Seas Doctrine;High;USA - Harold R Stark;X
240123;Chief of Navy;Andrew J. Higgins;1943;1953;SD;Indirect Approach Doctrine;High;USA - Andrew J Higgins;X
240124;Chief of Navy;Henry J. Kaiser;1940;1968;SL;Base Control Doctrine;High;USA - Henry J Kaiser;X
240125;Chief of Navy;William D. Leahy;1933;1960;ML;Power Projection Doctrine;High;Very High;X
240126;Chief of Navy;Ernest J. King;1941;1957;PA;Power Projection Doctrine;High;USA - Ernest J King;X
240127;Chief of Navy;Dr. James A. Colescott;1933;1951;NS;Open Seas Doctrine;Very High;USA - Dr James A Colescott;X
240128;Chief of Navy;John Abt;1924;1992;LE;Indirect Approach Doctrine;Medium;USA - John Abt;X
240129;Chief of Air Force;Henry H. Arnold;1938;1951;ML;Carpet Bombing Doctrine;Very High;USA - Henry H Arnold;X
240130;Chief of Air Force;Leroy Grumman;1944;1967;ML;Air Superiority Doctrine;High;USA - Leroy Grumman;X
240131;Chief of Air Force;Charles Lindbergh;1924;1975;PA;Air Superiority Doctrine;High;High;X
240133;Chief of Air Force;Martin J. Monti;1943;2001;FA;Army Aviation Doctrine;High;High;X
240134;Chief of Air Force;John Abt;1924;1992;LE;Army Aviation Doctrine;Medium;USA - John Abt;X
240135;Chief of Staff;William D. Leahy;1941;1960;ML;Popular Military Leader;Very High;USA - William D Leahy;X
240136;Minister of Armament;Averell H. Harriman;1946;1987;SL;Resource Industrialist;;USA -  Averell H Harriman;X
240137;Chief of Navy;Thomas C. Hart;1940;1972;SC;Old School Admiral;Very High;USA - Thomas C Hart;X
240138;Chief of Air Force;Carl A. Spaatz;1942;1975;ML;Army Aviation Doctrine;Very High;USA - Carl A Spaatz;X
240140;Chief of Staff;Daniel MacArthur;1930;1965;SC;School of Fire Support;Very High;USA - Daniel MacArthur;X
240141;Chief of Army;Daniel MacArthur;1930;1965;SC;Innovative Offensive General;Very High;USA - Daniel MacArthur;X
240142;Chief of Navy;Robert L. Ghormley;1933;1959;ML;Power Projection Doctrine;Very High;USA - Robert L Ghormley;X
240143;Head of Military Intelligence;Frank B. Rowlett;1933;1999;ML;Technical Specialist;High;USA - Frank B Rowlett;X
240144;Minister of Armament;Joseph P. Lash;1940;1988;LWR;Planned Economy Proponent;Very High;USA - Joseph P Lash;X
240145;Head of Government;Fritz Kuhn;1933;1952;FA;Flamboyant Tough Guy;High;USA - Fritz Kuhn;X
240146;Head of State;William F. Lemke;1933;1951;LWR;Die-hard Reformer;High;USA - William F Lemke;X
240148;Minister of Security;Gerald K. Smith;1933;1977;FA;Dai_Li_1;;USA - Gerald K Smith;X
240149;Head of State;Charles Lindbergh;1940;1975;PA;Autocratic Charmer;High;USA - Charles Lindbergh;X
240150;Head of Government;Robert E. Wood;1940;1970;PA;Flamboyant Tough Guy;;USA - Robert E Wood;X
240151;Minister of Security;Gerald B. Winrod;1940;1958;FA;Efficient Sociopath;Very High;USA - Gerald B Winrod;X
240152;Chief of Staff;Robert E. Wood;1933;1970;PA;Stubborn Disciplinarian;;USA - Robert E Wood;X
240153;Chief of Staff;Walter Bedell Smith;1942;1962;SC;School of Defence;Very High;USA - Walter Bedell Smith;X
240154;Chief of Army;Mark Clark;1945;1985;ML;Innovative Offensive General;Very High;USA - Mark Clark;X
240157;Chief of Navy;William "Bull" Halsey;1944;1960;SC;Power Projection Doctrine;Very High;USA - William Halsey;X
240158;Minister of Armament;Dean Acheson;1944;1972;SL;Balanced Budget Economy;High;USA - Dean Acheson;X
240159;Minister of Armament;Harold Ickes;1933;1953;SD;Keynesian Economy;Very High;USA - Harold Ickes;X
240160;Minister of Security;Archibald MacLeish;1939;1983;SD;Compassionate Gentleman;High;USA - Archibald MacLeish;X
240161;Foreign Minister;Archibald MacLeish;1939;1983;SD;Biased Intellectual;High;USA - Archibald MacLeish;X
240162;Minister of Security;Burton K. Wheeler;1910;1947;SL;Compassionate Gentleman;Medium;USA - Burton K Wheeler;X
240163;Foreign Minister;Thomas Connally;1941;1964;SL;Ideological Crusader;High;USA - Thomas Connally;X
240425;Foreign Minister;George Leonard Rockwell;1948;1972;NS;Fascist Crusader;Very High;USA - George Rockwell;X
240017;Head of State;Thomas E. Dewey;1944;1957;ML;Benevolent Gentleman;High;USA - Thomas E Dewey;X
240164;Minister of Security;Charles E. Hughes;1933;1949;SC;Compassionate Gentleman;;USA - Charles E Hughes;X
240166;Minister of Armament;Robert F. Wagner;1933;1954;SD;Genius Organizer;Very High;USA - Robert Wagner;X
240167;Minister of Armament;Henry L. Stimson;1940;1946;ML;Resource Industrialist;Very High;USA - Henry L Stimson;X
240168;Head of State;Dwight D. Ironhewer;1952;1970;SC;Resigned Generalissimo;Very High;USA - Dwight D Ironhewer;X
240169;Head of State;Adlai Stevenson;1952;1966;SL;Die-hard Reformer;High;USA - Adlai Stevenson;X
240170;Head of Government;Earl Warren;1948;1975;SL;Silent Workhorse;High;USA - Earl Warren;X
240171;Head of Government;Richard M. Nixon;1952;1961;SC;Flamboyant Tough Guy;High;USA - Richard Nixon;X
240172;Head of Government;John Sparkman;1952;1961;PA;Corporate Suit;High;USA - John Sparkman;X
240173;Foreign Minister;Dean Acheson;1949;1972;SL;Great Compromiser;;USA - Dean Acheson;X
240174;Foreign Minister;Allen Tate;1948;1980;ML;Biased Intellectual;Very High;USA - Allen Tate;X
240175;Foreign Minister;John Foster Dulles;1952;1960;SC;Ideological Crusader;Very High;USA - John Foster Dulles;X
240176;Foreign Minister;Culbert Levy Olson;1952;1963;SL;Apologetic Clerk;High;USA - Culbert Levy Olson;X
240177;Minister of Armament;John W. Snyder;1948;1954;ML;Genius Organizer;High;USA - John W Snyder;X
240178;Minister of Armament;Joseph Bracken Lee;1948;1997;ML;Laissez-Faire Capitalist;High;USA - Joseph Bracken Lee;X
240179;Minister of Armament;George M. Humphrey;1952;1971;SC;Laissez-Faire Capitalist;Very High;USA - George M Humphrey;X
240180;Minister of Armament;Herbert R. O'Connor;1952;1961;ML;Secretary of War;High;USA - Herbert OConnor;X
240181;Minister of Security;Julius A. Krug;1948;1971;SL;Crime Fighter;;USA - Julius A Krug;X
240182;Minister of Security;Oscar L. Chapman;1951;1979;SL;Compassionate Gentleman;Very High;USA - Oscar L Chapman;X
240183;Minister of Security;Gordon J. Knight;1948;1964;SC;Dai_Li_1;Very High;USA - Gordon J Knight;X
240184;Minister of Security;Douglas McKay;1952;1960;ML;Compassionate Gentleman;Very High;USA - Douglas McKay;X
240185;Minister of Security;Frank J. Lausche;1952;1970;SD;Silent Lawyer;Very High;USA - Frank J Lausche;X
240186;Head of Military Intelligence;Walter Bedell Smith;1950;1962;SC;Logistics Specialist;Very High;USA - Walter Bedell Smith;X
240187;Head of Military Intelligence;John Howard Pyle;1948;1988;SC;Political Specialist;Very High;USA - John Howard Pyle;X
240188;Head of Military Intelligence;Allen W. Dulles;1952;1970;SC;Dai_Li_2;Very High;USA - Allen W Dulles;X
240189;Head of Military Intelligence;William Preston Lane;1952;1968;ML;Political Specialist;Very High;USA - William Preston Lane;X
240426;Head of State;Barry Goldwater;1954;1980;SC;Benevolent Gentleman;Very High;USA - Barry Goldwater;X
240190;Chief of Staff;Omar N. Bradley;1948;1954;ML;School of Manoeuvre;High;USA - Omar Bradley;X
240192;Chief of Navy;Louis E.Denfeld;1948;1973;ML;Power Projection Doctrine;High;USA - Louis E Denfeld;X
240193;Chief of Navy;Forrest P. Sherman;1949;1952;SC;Power Projection Doctrine;High;USA - Forrest P Sherman;X
240194;Chief of Navy;William R. Fechteler;1951;1968;ML;Base Control Doctrine;High;High;X
240195;Chief of Air Force;Hoyt Vandenberg;1948;1955;ML;Army Aviation Doctrine;High;USA - Hoyt S Vandenberg;X
240196;Head of State;Daniel MacArthur;1952;1965;SC;Resigned Generalissimo;Very High;USA - Daniel MacArthur;X
240197;Head of Military Intelligence;Charles Willoughby;1952;1973;ML;Technical Specialist;High;High;X
240198;Minister of Security;Joseph McCarthy;1952;1958;PA;Ruthless Organizer;High;High;X
240199;Head of Government;Joseph McCarthy;1952;1958;PA;Flamboyant Tough Guy;High;High;X
240200;Foreign Minister;Christian A. Herter;1959;1967;SC;Ideological Crusader;High;High;X
240201;Head of State;Richard M. Nixon;1960;1969;SC;Weary Stiffneck;High;USA - Richard Nixon;X
240202;Head of State;John F. Kennedy;1960;1964;ML;Die-hard Reformer;Very High;USA - John F Kennedy;X
240203;Head of Government;Henry Cabot Lodge Jr.;1960;1969;SC;Silent Workhorse;High;USA - Henry Cabot Lodge Jr;X
240204;Head of Government;Henry M. Jackson;1960;1974;ML;Silent Workhorse;High;High;X
240205;Head of Government;Estes Kefauver;1956;1964;SL;Flamboyant Tough Guy;High;USA - Henry M Jackson;X
240207;Foreign Minister;Dean Rusk;1960;1970;ML;Ideological Crusader;High;USA - Dean Rusk;X
240208;Minister of Armament;Robert B. Anderson;1956;1962;SC;Military Entrepreneur;High;USA -Robert B Anderson;X
240209;Minister of Armament;Robert A. Lovett;1956;1987;SC;Laissez-Faire Capitalist;High;USA - Robert A Lovett;X
240210;Minister of Armament;C. Douglas Dillon;1958;1976;ML;Resource Industrialist;;USA - C Douglas Dillon;X
240211;Minister of Armament;Nelson A. Rockefeller;1950;1979;SC;Laissez-Faire Capitalist;Very High;USA - Nelson A Rockefeller;X
240212;Head of Military Intelligence;Peter C. Reilly;1956;1964;SC;Dismal Enigma;Very High;USA - Peter Reilly;X
240213;Head of Military Intelligence;John A. McCone;1960;1966;ML;Political Specialist;Very High;USA - John McCone;X
240214;Head of State;Henry M. Jackson;1963;1974;ML;Benevolent Gentleman;High;USA - Henry M Jackson;X
240215;Head of Government;Hubert Humphrey;1963;1974;ML;Silent Workhorse;High;USA - Hubert Humprey;X
240216;Chief of Staff;Arthur W. Radford;1954;1974;SC;Popular Military Leader;High;USA - Arthur Radford;X
240217;Chief of Staff;Nathan F. Twining;1957;1961;SC;School of Psychology;High;USA - Nathan Twining;X
240218;Chief of Staff;Lyman L. Lemnitzer;1960;1970;SC;School of Manoeuvre;High;USA - Lyman L Lemnitzer;X
240219;Chief of Staff;Maxwell D. Taylor;1962;1971;SC;School of Psychology;Very High;USA - Maxwell D Taylor;X
240221;Chief of Army;Maxwell D. Taylor;1955;1971;SC;Guns and Butter Doctrine;Very High;USA - Maxwell D Taylor;X
240222;Chief of Army;Lyman L. Lemnitzer;1959;1964;SC;Armoured Spearhead Doctrine;High;USA - Lyman L Lemnitzer;X
240223;Chief of Army;George H. Decker;1960;1963;SC;Elastic Defence Doctrine;High;USA - George H Decker;X
240224;Chief of Army;Earle G. Wheeler;1962;1971;SC;Armoured Spearhead Doctrine;High;USA - Earle G Wheeler;X
240225;Chief of Navy;Robert B. Carney;1953;1956;SC;Open Seas Doctrine;High;USA - Robert B Carney;X
240226;Chief of Navy;Arleigh A. Burke;1955;1962;SC;Power Projection Doctrine;Very High;USA - Arleigh A Burke;X
240227;Chief of Navy;George W. Anderson;1961;1964;ML;Base Control Doctrine;High;USA - George W Anderson;X
240228;Chief of Navy;David L. McDonald;1963;1968;SC;Decisive Naval Battle Doctrine;;USA - David L McDonald;X
240229;Chief of Air Force;Nathan F. Twining;1953;1961;SC;Vertical Envelopment Doctrine;;USA - Nathan Twining;X
240230;Chief of Air Force;Thomas D. White;1957;1962;ML;Army Aviation Doctrine;High;USA - Thomas D White;X
240231;Chief of Air Force;Curtis "Bombs Away" LeMay;1943;1966;SC;Carpet Bombing Doctrine;Very High;USA - Curtis LeMay;X
240232;Head of Government;Harry L. Hopkins;1933;1947;SD;Silent Workhorse;;USA - Harry Hopkins;X
240233;Chief of Air Force;Charles Chandler;1912;1921;SC;Army Aviation Doctrine;High;USA - Charles Chandler;X
240234;Chief of Air Force;William Mitchell;1912;1926;SC;Vertical Envelopment Doctrine;Very High;USA - Billy Mitchell;X
240236;Chief of Air Force;William Kenly;1917;1929;ML;Army Aviation Doctrine;High;USA - William Kenly;X
240237;Chief of Air Force;Benjamin Foulois;1908;1936;ML;Army Aviation Doctrine;High;USA - Benjamin Foulois;X
240238;Chief of Air Force;Mason Patrick;1918;1928;ML;Air Superiority Doctrine;High;USA - Mason Patrick;X
240239;Chief of Air Force;Charles Menoher;1918;1927;ML;Army Aviation Doctrine;High;USA - Charles Menoher;X
240241;Chief of Army;Samuel Young;1861;1905;SC;Elastic Defence Doctrine;High;USA - Samuel Young;X
240242;Chief of Army;Adna R. Chaffee;1904;1915;SC;Static Defence Doctrine;High;USA - Adna R Chaffee;X
240243;Chief of Army;John C. Bates;1906;1920;SC;Decisive Battle Doctrine;High;USA - John C Bates;X
240244;Chief of Army;J. Franklin Bell;1906;1920;ML;Innovative Offensive General;High;USA - James Franklin Bell;X
240246;Chief of Army;Leonard Wood;1912;1928;SC;Guns and Butter Doctrine;Very High;USA - Leonard Wood;X
240247;Chief of Army;William W. Wotherspoon;1914;1922;SC;Static Defence Doctrine;Very High;USA - William Wallace Wotherspoon;X
240248;Chief of Army;Hugh L. Scott;1914;1920;SC;Guns and Butter Doctrine;High;USA - Hugh L Scott;X
240249;Chief of Army;Tasker H. Bliss;1917;1931;ML;Static Defense Supporter;High;USA - Tasker H Bliss;X
240250;Chief of Army;Peyton C. March;1918;1921;ML;Static Defence Doctrine;High;USA - Peyton C March;X
240251;Chief of Army;John J. Pershing;1921;1924;ML;Innovative Offensive General;High;USA - John J Pershing;X
240252;Chief of Army;John L. Hines;1924;1933;SC;Static Defence Doctrine;High;USA - John L Hines;X
240253;Chief of Army;Nelson A. Miles;1898;1926;SC;Decisive Battle Doctrine;High;USA - Nelson A Miles;X
240254;Chief of Navy;William S. Benson;1912;1932;SC;Decisive Naval Battle Doctrine;;USA - William Benson;X
240255;Chief of Navy;Hugh Rodman;1912;1932;SC;Power Projection Doctrine;;USA - Hugh Rodman;X
240256;Chief of Navy;Robert E. Coontz;1919;1929;SC;Base Control Doctrine;;USA - Robert E Coontz;X
240257;Chief of Navy;Edward W. Eberle;1923;1929;SC;Indirect Approach Doctrine;High;USA - Edward W Eberle;X
240259;Chief of Navy;George Dewey;1900;1917;SC;Old School Admiral;Very High;USA - George Dewey;X
240260;Chief of Staff;Samuel Young;1861;1905;SC;Stubborn Disciplinarian;High;USA - Samuel Young;X
240261;Chief of Staff;Adna R. Chaffee;1904;1915;SC;School of Defence;;USA - Adna R Chaffee;X
240262;Chief of Staff;John C. Bates;1906;1920;SC;Fortifications Supporter;High;USA - John C Bates;X
240263;Chief of Staff;J. Franklin Bell;1906;1920;SC;School of Psychology;High;USA - James Franklin Bell;X
240265;Chief of Staff;Leonard Wood;1912;1928;SC;School of Manoeuvre;Very High;USA - Leonard Wood;X
240266;Chief of Staff;William W. Wotherspoon;1914;1922;SC;School of Fire Support;;USA - William Wallace Wotherspoon;X
240267;Chief of Staff;Hugh L. Scott;1914;1920;SC;Generic;High;USA - Hugh L Scott;X
240268;Chief of Staff;Tasker H. Bliss;1917;1931;ML;School of Mass Combat;;USA - Tasker H Bliss;X
240269;Chief of Staff;Peyton C. March;1918;1921;ML;Fortifications Supporter;Very High;USA - Peyton C March;X
240270;Chief of Staff;John J. Pershing;1921;1924;ML;Popular Military Leader;High;USA - John J Pershing;X
240271;Chief of Staff;John L. Hines;1924;1933;SC;School of Defence;High;USA - John L Hines;X
240272;Chief of Staff;Nelson A. Miles;1898;1926;SC;School of Psychology;High;USA - Nelson A Miles;X
240273;Foreign Minister;Philander C. Knox;1908;1922;SC;Great Compromiser;High;USA - Philander C Knox;X
